site_id,image_file,n_defects,n_corrosion,n_crack,max_confidence,defects_json
SITE0001,corrosion-and-cracks-kuvur_corrosion-47-_jpeg.rf.54411d52d859269f0aeba0b159402755.jpg,0,0,0,0.0,[]
SITE0002,corrosion-and-cracks-kuvur_corrosion-50-_jpeg.rf.22a2f1df5ce140ed99dfb0fcfaa08854.jpg,0,0,0,0.0,[]
SITE0003,corrosion-and-cracks-kuvur_corrosion-73-_jpeg.rf.4adbd108154e730997f3ad4d869534f9.jpg,0,0,0,0.0,[]
SITE0004,corrosion-and-cracks-kuvur_corrosion-25-_jpeg.rf.033154fd3786820efd5926f487a9343c.jpg,0,0,0,0.0,[]
SITE0005,corrosion_detection-unzub_A-nut-and-bolt-assembly-showing-crevice-corrosion-in-cold-rolled-threads--The-corrosion-products-are-accumulated-at-the-junction-of-the-nut-and-the-bolt-_jpg.rf.c82da7970ad2b7cd9970c376d4e4677c.jpg,4,4,0,0.85,"[{""class"": ""corrosion"", ""confidence"": 0.85, ""bbox"": [0.5469, 0.3846, 0.238, 0.36]}, {""class"": ""corrosion"", ""confidence"": 0.85, ""bbox"": [0.5373, 0.6899, 0.247, 0.2272]}, {""class"": ""corrosion"", ""confidence"": 0.85, ""bbox"": [0.6418, 0.8654, 0.0583, 0.0589]}, {""class"": ""corrosion"", ""confidence"": 0.85, ""bbox"": [0.7296, 0.0986, 0.0595, 0.1118]}]"
SITE0006,corrosion-and-cracks-kuvur_corrosion-47-_jpeg.rf.dccd9d4ade5a2e44a165fe17404f37ef.jpg,0,0,0,0.0,[]
SITE0007,corrosion-and-cracks-kuvur_corrosion-75-_jpeg.rf.1e3a270a09aec4b3ad29acaa668d6e6f.jpg,0,0,0,0.0,[]
SITE0008,corrosion-and-cracks-kuvur_corrosion-73-_jpeg.rf.28c623a95560ea952d082be9ec57d8fb.jpg,0,0,0,0.0,[]
SITE0009,corrosion_detection-unzub_corrosion-metal-rusty-bollard-abandoned-pier-221587764_jpg.rf.48e2bea4f6265d10e4709a63e54689c8.jpg,12,8,4,0.85,"[{""class"": ""corrosion"", ""confidence"": 0.85, ""bbox"": [0.5385, 0.232, 0.1629, 0.024]}, {""class"": ""crack"", ""confidence"": 0.85, ""bbox"": [0.6983, 0.3185, 0.0126, 0.1106]}, {""class"": ""crack"", ""confidence"": 0.85, ""bbox"": [0.7536, 0.4123, 0.0114, 0.351]}, {""class"": ""crack"", ""confidence"": 0.85, ""bbox"": [0.4748, 0.4363, 0.0192, 0.2572]}, {""class"": ""corrosion"", ""confidence"": 0.85, ""bbox"": [0.8942, 0.4868, 0.0956, 0.0463]}, {""class"": ""corrosion"", ""confidence"": 0.85, ""bbox"": [0.7188, 0.6226, 0.0481, 0.0715]}, {""class"": ""crack"", ""confidence"": 0.85, ""bbox"": [0.4832, 0.6599, 0.0294, 0.1472]}, {""class"": ""corrosion"", ""confidence"": 0.85, ""bbox"": [0.9267, 0.6671, 0.1172, 0.0505]}, {""class"": ""corrosion"", ""confidence"": 0.85, ""bbox"": [0.5529, 0.7584, 0.0577, 0.0799]}, {""class"": ""corrosion"", ""confidence"": 0.85, ""bbox"": [0.7392, 0.7945, 0.1184, 0.2115]}, {""class"": ""corrosion"", ""confidence"": 0.85, ""bbox"": [0.5457, 0.905, 0.1058, 0.1857]}, {""class"": ""corrosion"", ""confidence"": 0.85, ""bbox"": [0.7392, 0.1827, 0.1472, 0.0391]}]"
SITE0010,corrosion_detection-unzub_main-qimg-dd1c9e2f7bbbaf14ab142360f5cb6b03-lq_jpg.rf.7d0aacc51e1788988bd7808e382a3751.jpg,4,3,1,0.85,"[{""class"": ""corrosion"", ""confidence"": 0.85, ""bbox"": [0.4928, 0.5589, 0.2398, 0.1701]}, {""class"": ""corrosion"", ""confidence"": 0.85, ""bbox"": [0.8714, 0.5853, 0.2001, 0.6653]}, {""class"": ""corrosion"", ""confidence"": 0.85, ""bbox"": [0.1262, 0.6851, 0.1899, 0.5709]}, {""class"": ""crack"", ""confidence"": 0.85, ""bbox"": [0.381, 0.1947, 0.2674, 0.0721]}]"
