site_id,date,risk_proba,risk_pred
SITE0149,2026-06-29,9.926261451137371e-06,0
SITE0075,2026-06-29,1.0166316908098214e-05,0
SITE0147,2026-06-29,8.749127131915757e-06,0
SITE0051,2026-06-29,9.456059862583771e-06,0
SITE0050,2026-06-29,8.552906925332345e-06,0
SITE0049,2026-06-29,9.879570434302278e-06,0
SITE0048,2026-06-29,6.679098979483547e-06,0
SITE0047,2026-06-29,1.272330086060242e-05,0
SITE0046,2026-06-29,1.983207917855909e-05,0
SITE0052,2026-06-29,6.004387040267784e-05,0
SITE0045,2026-06-29,9.275714724337795e-06,0
SITE0043,2026-06-29,1.088162280297719e-05,0
SITE0042,2026-06-29,8.284258490811293e-06,0
SITE0041,2026-06-29,1.4651961038766497e-05,0
SITE0040,2026-06-29,8.514931660203836e-06,0
SITE0039,2026-06-29,1.1718490521152924e-05,0
SITE0038,2026-06-29,1.1092908043033135e-05,0
SITE0044,2026-06-29,2.340791392902e-05,0
SITE0053,2026-06-29,9.282136820532755e-06,0
SITE0054,2026-06-29,7.874316999872322e-06,0
SITE0055,2026-06-29,9.589725876699454e-06,0
SITE0070,2026-06-29,8.573314991876301e-06,0
SITE0069,2026-06-29,9.895668953247352e-06,0
SITE0068,2026-06-29,1.602990162742953e-05,0
SITE0067,2026-06-29,1.2980100326369267e-05,0
SITE0066,2026-06-29,1.2717320012332404e-05,0
SITE0065,2026-06-29,1.4669318171329965e-05,0
SITE0064,2026-06-29,9.367836927341886e-06,0
SITE0063,2026-06-29,1.570237843916035e-05,0
SITE0062,2026-06-29,1.0220789753521759e-05,0
SITE0061,2026-06-29,1.521586863828341e-05,0
SITE0060,2026-06-29,9.20988371932996e-06,0
SITE0059,2026-06-29,1.4872829990466774e-05,0
SITE0058,2026-06-29,7.254580519078699e-06,0
SITE0057,2026-06-29,1.3457850169222558e-05,0
SITE0056,2026-06-29,1.1397421005740508e-05,0
SITE0037,2026-06-29,4.642784061636562e-06,0
SITE0071,2026-06-29,1.0650363111985504e-05,0
SITE0036,2026-06-29,1.0384129710255328e-05,0
SITE0034,2026-06-29,2.5967168992752772e-05,0
SITE0014,2026-06-29,2.169070287411605e-05,0
SITE0013,2026-06-29,9.253794730946024e-06,0
SITE0012,2026-06-29,1.0512055335367978e-05,0
SITE0011,2026-06-29,1.3932389021964954e-05,0
SITE0010,2026-06-29,1.81427192238513e-05,0
SITE0009,2026-06-29,6.652819871930342e-06,0
SITE0015,2026-06-29,7.083267193434549e-06,0
SITE0008,2026-06-29,7.3048192271992885e-06,0
SITE0006,2026-06-29,1.9306142720175675e-05,0
SITE0005,2026-06-29,1.290935638549241e-05,0
SITE0004,2026-06-29,7.685518187616397e-06,0
SITE0003,2026-06-29,9.517613969690581e-06,0
SITE0002,2026-06-29,8.768365765171277e-06,0
SITE0001,2026-06-29,9.992963193653087e-06,0
SITE0007,2026-06-29,1.2251930435044415e-05,0
SITE0016,2026-06-29,9.352815415549867e-06,0
SITE0017,2026-06-29,6.9168313237552855e-06,0
SITE0018,2026-06-29,7.321354507299201e-06,0
SITE0033,2026-06-29,6.7929932825020246e-06,0
SITE0032,2026-06-29,1.1180203145181859e-05,0
SITE0031,2026-06-29,1.1796745906237704e-05,0
SITE0030,2026-06-29,3.617042166126072e-05,0
SITE0029,2026-06-29,1.892529507358322e-05,0
SITE0028,2026-06-29,9.647069806711722e-06,0
SITE0027,2026-06-29,7.629406183073376e-06,0
SITE0026,2026-06-29,1.4195067389571652e-05,0
SITE0025,2026-06-29,1.3089734352998325e-05,0
SITE0024,2026-06-29,8.845504514373276e-06,0
SITE0023,2026-06-29,6.887328291157463e-06,0
SITE0022,2026-06-29,1.0417092345951446e-05,0
SITE0021,2026-06-29,1.5129259875367497e-05,0
SITE0020,2026-06-29,1.0467946294312463e-05,0
SITE0019,2026-06-29,7.9461687275637e-06,0
SITE0035,2026-06-29,1.217258119088475e-05,0
SITE0072,2026-06-29,5.234579126838925e-06,0
SITE0073,2026-06-29,7.919102212588367e-06,0
SITE0074,2026-06-29,1.8482507065933164e-05,0
SITE0127,2026-06-29,5.360991739053068e-06,0
SITE0126,2026-06-29,1.2742680546374582e-05,0
SITE0125,2026-06-29,3.430043599789081e-05,0
SITE0124,2026-06-29,1.2502383640103534e-05,0
SITE0123,2026-06-29,8.242422077642455e-06,0
SITE0122,2026-06-29,8.240510366608024e-06,0
SITE0128,2026-06-29,7.3180927130263525e-06,0
SITE0121,2026-06-29,1.051517443225613e-05,0
SITE0119,2026-06-29,1.7671608515226303e-05,0
SITE0118,2026-06-29,6.79133093002941e-06,0
SITE0117,2026-06-29,1.3228453953847243e-05,0
SITE0116,2026-06-29,1.2539915939063732e-05,0
SITE0115,2026-06-29,3.73897147465335e-05,0
SITE0114,2026-06-29,1.027498517771977e-05,0
SITE0120,2026-06-29,9.695711057960795e-06,0
SITE0129,2026-06-29,1.0021799201013502e-05,0
SITE0130,2026-06-29,1.2549069406291074e-05,0
SITE0131,2026-06-29,1.127695519504648e-05,0
SITE0146,2026-06-29,1.2258382570895148e-05,0
SITE0145,2026-06-29,1.3366601235390845e-05,0
SITE0144,2026-06-29,1.2580656463532329e-05,0
SITE0143,2026-06-29,8.23656084935875e-06,0
SITE0142,2026-06-29,9.76842989632797e-06,0
SITE0141,2026-06-29,1.0037709753740564e-05,0
SITE0140,2026-06-29,1.3468761089267393e-05,0
SITE0139,2026-06-29,2.368093777487139e-05,0
